"date","ristorante","lordototale","weekday","LOCALITA.x","LOCALITA.y","FENOMENI","year","month","day","place","population","totale_casi"
"2018-09-10","R004",29715.4326,"Monday","Pavia","Pavia","N",2018,9,10,"Stradella",11669,0
"2018-09-10","R005",28691.11,"Monday","Pavia","Pavia","N",2018,9,10,"Voghera",39051,0
"2018-09-11","R000",22109.0051,"Tuesday","Pavia","Pavia","N",2018,9,11,"Montebello",1596,0
"2018-09-11","R001",37990.4245,"Tuesday","Piacenza","Piacenza","N",2018,9,11,"Piacenza",103904,0
"2018-09-11","R003",17212.3532,"Tuesday","Piacenza","Piacenza","N",2018,9,11,"Piacenza",103904,0
"2018-09-11","R004",29383.2567,"Tuesday","Pavia","Pavia","N",2018,9,11,"Stradella",11669,0
"2018-09-11","R005",23962.8795,"Tuesday","Pavia","Pavia","N",2018,9,11,"Voghera",39051,0
"2018-09-12","R000",24504.4877,"Wednesday","Pavia","Pavia","N",2018,9,12,"Montebello",1596,0
"2018-09-12","R001",36964.5325,"Wednesday","Piacenza","Piacenza","N",2018,9,12,"Piacenza",103904,0
"2018-09-12","R003",16266.2528,"Wednesday","Piacenza","Piacenza","N",2018,9,12,"Piacenza",103904,0
"2018-09-12","R004",28206.8675,"Wednesday","Pavia","Pavia","N",2018,9,12,"Stradella",11669,0
"2018-09-12","R005",32736.1559,"Wednesday","Pavia","Pavia","N",2018,9,12,"Voghera",39051,0
"2018-09-13","R000",20429.4167,"Thursday","Pavia","Pavia","pioggia ",2018,9,13,"Montebello",1596,0
"2018-09-13","R001",39871.5982,"Thursday","Piacenza","Piacenza","N",2018,9,13,"Piacenza",103904,0
"2018-09-13","R003",18366.8947,"Thursday","Piacenza","Piacenza","N",2018,9,13,"Piacenza",103904,0
"2018-09-13","R004",25309.053,"Thursday","Pavia","Pavia","pioggia ",2018,9,13,"Stradella",11669,0
"2018-09-13","R005",24768.849,"Thursday","Pavia","Pavia","pioggia ",2018,9,13,"Voghera",39051,0
"2018-09-14","R000",30030.4277,"Friday","Pavia","Pavia","N",2018,9,14,"Montebello",1596,0
"2018-09-14","R001",52439.8903,"Friday","Piacenza","Piacenza","N",2018,9,14,"Piacenza",103904,0
"2018-09-14","R003",20437.5528,"Friday","Piacenza","Piacenza","N",2018,9,14,"Piacenza",103904,0
"2018-09-14","R004",34883.4668,"Friday","Pavia","Pavia","N",2018,9,14,"Stradella",11669,0
"2018-09-14","R005",30318.8256,"Friday","Pavia","Pavia","N",2018,9,14,"Voghera",39051,0
"2018-09-15","R000",47756.3051,"Saturday","Pavia","Pavia","N",2018,9,15,"Montebello",1596,0
"2018-09-15","R001",59577.8932,"Saturday","Piacenza","Piacenza","N",2018,9,15,"Piacenza",103904,0
"2018-09-15","R003",18828.5048,"Saturday","Piacenza","Piacenza","N",2018,9,15,"Piacenza",103904,0
"2018-09-15","R004",42332.5,"Saturday","Pavia","Pavia","N",2018,9,15,"Stradella",11669,0
"2018-09-15","R005",32362.68,"Saturday","Pavia","Pavia","N",2018,9,15,"Voghera",39051,0
"2018-09-16","R000",34824.2839,"Sunday","Pavia","Pavia","N",2018,9,16,"Montebello",1596,0
"2018-09-16","R001",49121.9309,"Sunday","Piacenza","Piacenza","pioggia temporale ",2018,9,16,"Piacenza",103904,0
"2018-09-16","R003",16965.9574,"Sunday","Piacenza","Piacenza","pioggia temporale ",2018,9,16,"Piacenza",103904,0
"2018-09-16","R004",34234.4786,"Sunday","Pavia","Pavia","N",2018,9,16,"Stradella",11669,0
"2018-09-16","R005",23646.4802,"Sunday","Pavia","Pavia","N",2018,9,16,"Voghera",39051,0
"2018-09-17","R000",18185.7529,"Monday","Pavia","Pavia","N",2018,9,17,"Montebello",1596,0
"2018-09-17","R001",41496.2576,"Monday","Piacenza","Piacenza","pioggia temporale ",2018,9,17,"Piacenza",103904,0
"2018-09-17","R003",17960.8744,"Monday","Piacenza","Piacenza","pioggia temporale ",2018,9,17,"Piacenza",103904,0
"2018-09-17","R004",25256.7259,"Monday","Pavia","Pavia","N",2018,9,17,"Stradella",11669,0
"2018-09-17","R005",21127.1802,"Monday","Pavia","Pavia","N",2018,9,17,"Voghera",39051,0
"2018-09-18","R000",19944.4308,"Tuesday","Pavia","Pavia","N",2018,9,18,"Montebello",1596,0
"2018-09-18","R001",34121.4405,"Tuesday","Piacenza","Piacenza","N",2018,9,18,"Piacenza",103904,0
"2018-09-18","R003",15929.2035,"Tuesday","Piacenza","Piacenza","N",2018,9,18,"Piacenza",103904,0
"2018-09-18","R004",23591.8816,"Tuesday","Pavia","Pavia","N",2018,9,18,"Stradella",11669,0
"2018-09-18","R005",21480.3778,"Tuesday","Pavia","Pavia","N",2018,9,18,"Voghera",39051,0
"2018-09-19","R000",20697.8667,"Wednesday","Pavia","Pavia","nebbia ",2018,9,19,"Montebello",1596,0
"2018-09-19","R001",33312.4974,"Wednesday","Piacenza","Piacenza","N",2018,9,19,"Piacenza",103904,0
"2018-09-19","R003",16966.4943,"Wednesday","Piacenza","Piacenza","N",2018,9,19,"Piacenza",103904,0
"2018-09-19","R004",24206.9212,"Wednesday","Pavia","Pavia","nebbia ",2018,9,19,"Stradella",11669,0
"2018-09-19","R005",24569.2461,"Wednesday","Pavia","Pavia","nebbia ",2018,9,19,"Voghera",39051,0
"2018-09-20","R000",24180.324,"Thursday","Pavia","Pavia","N",2018,9,20,"Montebello",1596,0
"2018-09-20","R001",38483.0509,"Thursday","Piacenza","Piacenza","N",2018,9,20,"Piacenza",103904,0
"2018-09-20","R003",18019.8921,"Thursday","Piacenza","Piacenza","N",2018,9,20,"Piacenza",103904,0
"2018-09-20","R004",28025.1475,"Thursday","Pavia","Pavia","N",2018,9,20,"Stradella",11669,0
"2018-09-20","R005",29539.0403,"Thursday","Pavia","Pavia","N",2018,9,20,"Voghera",39051,0
"2018-09-21","R000",28866.3872,"Friday","Pavia","Pavia","nebbia ",2018,9,21,"Montebello",1596,0
"2018-09-21","R001",47600.5215,"Friday","Piacenza","Piacenza","N",2018,9,21,"Piacenza",103904,0
"2018-09-21","R003",19833.5816,"Friday","Piacenza","Piacenza","N",2018,9,21,"Piacenza",103904,0
"2018-09-21","R004",37750.265,"Friday","Pavia","Pavia","nebbia ",2018,9,21,"Stradella",11669,0
